entry_time,exit_time,type,entry_price,exit_price,size,pnl,pnl_pct,exit_reason
2024-07-27 20:40:00+00:00,2024-07-27 20:50:00+00:00,long,67140.2,68163.48,0.0029788412903148935,3.0481887155534366,1.5240943577767183,signal
2024-08-05 01:05:00+00:00,2024-08-05 01:10:00+00:00,long,54754.572,53843.973,0.003653776414767904,-3.3271251495112324,-1.6630556440108752,signal
2024-08-05 01:10:00+00:00,2024-08-05 01:40:00+00:00,long,53843.973,55125.7,0.0037143325450987954,4.760760310031827,2.3804465543432234,signal
2024-08-05 06:00:00+00:00,2024-08-05 06:10:00+00:00,long,52513.95,51631.96,0.0038102187414491093,-3.360574827770705,-1.6795346760241827,signal
2024-08-05 06:10:00+00:00,2024-08-05 06:15:00+00:00,long,51631.96,50921.7415,0.003798048110240374,-2.6974440317827657,-1.375540459823728,timeout
2024-08-05 06:05:00+00:00,2024-08-05 06:15:00+00:00,long,52054.4955,50921.7415,0.0037669723213045268,-4.267052964846982,-2.1760925528516526,signal
2024-08-05 06:20:00+00:00,2024-08-05 06:30:00+00:00,long,49259.2885,50950.742,0.0040577755206722774,6.863538606655453,3.4337757436346283,signal
2024-08-05 06:25:00+00:00,2024-08-05 07:00:00+00:00,long,50034.035,51810.625,0.003915044476029422,6.9554288656690915,3.5507629956288653,signal
2024-08-05 10:15:00+00:00,2024-08-05 10:20:00+00:00,long,51788.6875,51482.9325,0.003864927343263525,-1.1817208598395155,-0.5903895517722744,signal
2024-08-08 01:40:00+00:00,2024-08-08 01:45:00+00:00,short,57249.45,56720.795,0.003495856815625009,1.8481021848642456,0.9234237184811416,signal
2024-08-08 02:25:00+00:00,2024-08-08 03:30:00+00:00,short,57646.7125,57481.82,0.006361139673801383,1.048904223662305,0.2860397286315358,signal
2024-08-27 22:10:00+00:00,2024-08-27 22:15:00+00:00,long,58298.74,59049.08,0.007143121037665141,5.359769439401703,1.287060406451333,signal
2024-08-27 22:20:00+00:00,2024-08-27 22:30:00+00:00,long,58927.6315,58885.0,0.008741137001915849,-0.3726477820971468,-0.07234551756928617,max_drawdown
2024-08-27 22:25:00+00:00,2024-08-27 22:30:00+00:00,long,58950.6955,58885.0,0.008288318477738284,-0.5445052265542927,-0.11144143329064624,max_drawdown
2024-09-04 01:00:00+00:00,2024-09-04 01:05:00+00:00,long,55660.46,56014.6835,0.009253378953191236,3.2777642796256714,0.6364005974797784,signal
2024-11-13 20:55:00+00:00,2024-11-13 21:00:00+00:00,long,89774.2665,89044.874,0.006402869638291241,-4.670205092647393,-0.8124739175674665,signal
2024-12-05 22:25:00+00:00,2024-12-05 22:30:00+00:00,long,94374.315,95704.78,0.004950513536974745,6.586484992971123,1.4097744709458329,signal
